fecha, dosisAcumuladas, janssen
2021-02-17, 18, 0
2021-02-18, 18, 0
2021-02-19, 21307, 0
2021-02-20, 33140, 0
2021-02-21, 39827, 0
2021-02-22, 45166, 0
2021-02-23, 48150, 0
2021-02-24, 50524, 0
2021-02-25, 66157, 0
2021-02-26, 81333, 0
2021-02-27, 114042, 0
2021-02-28, 130578, 0
2021-03-01, 149133, 0
2021-03-02, 169619, 0
2021-03-03, 191480, 0
2021-03-04, 206475, 0
2021-03-05, 239851, 0
2021-03-06, 270411, 0
2021-03-07, 296240, 0
2021-03-08, 316079, 0
2021-03-09, 360635, 0
2021-03-10, 480250, 0
2021-03-11, 589208, 0
2021-03-12, 693490, 0
2021-03-13, 782301, 0
2021-03-14, 843204, 0
2021-03-15, 913961, 0
2021-03-16, 976137, 0
2021-03-17, 1024358, 0
2021-03-18, 1076496, 0
2021-03-19, 1131999, 0
2021-03-20, 1182098, 0
2021-03-21, 1215008, 0
